frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.3323364257812 1369.6114501953125 1430.3155517578125 1983.112548828125],[974.5330810546875 1753.43115234375 1199.217041015625 1851.5562744140625],0.5686159729957581,NA13MRU,0.4291162233854596
1,3.0,[752.196723893823 1370.07603403858 1430.2137002171169 1983.2946289051451],[974.4085693359375 1753.3406982421875 1199.2364501953125 1851.6090087890625],0.5680543780326843,NA13MRU,0.4291162233854596
2,5.0,[2200.996615272977 1164.6064731070928 2784.563724092726 1741.021579729079],[2410.855224609375 1548.7657470703125 2584.25634765625 1642.509521484375],0.5791824460029602,NI51TSU,0.03942901894498341
2,3.0,[749.6827791766777 1375.1000676423814 1425.3818755532616 1990.4497907442228],[977.2055053710938 1765.2330322265625 1202.9093017578125 1862.619140625],0.5348607301712036,NA13NRU,0.4051285433577719
3,3.0,[746.6989308396396 1378.5351106380554 1423.4987430907781 1996.5149239323664],[973.071533203125 1775.7601318359375 1190.1434326171875 1863.9840087890625],0.5577625036239624,MA13MRU,0.17231477821016897
3,5.0,[2198.4460316208288 1168.0993703889574 2784.486124183579 1746.7124319742268],[2416.58203125 1559.760498046875 2584.902099609375 1648.505859375],0.5082332491874695,HU51KSU,0.12168408190922023
5,3.0,[746.9446266404267 1384.1910629852905 1430.6411234218872 2007.4734341694957],[964.5743408203125 1783.3465576171875 1192.237060546875 1883.04052734375],0.5495259761810303,NA13NRU,0.4754835718503386
7,5.0,[2194.7491345488643 1176.6023501080006 2790.3318193760897 1760.720092275864],[2412.45947265625 1565.99853515625 2584.89501953125 1651.6058349609375],0.47830626368522644,HU51VSU,0.49141577523978575
8,5.0,[2191.812442169577 1175.5077260526184 2790.4420712920178 1762.7609897469385],[2416.86767578125 1575.17724609375 2588.264892578125 1653.5936279296875],0.5565707087516785,AU51VSU,0.16350463469387988
8,3.0,[737.5786102917463 1390.9025064353193 1424.3158763958104 2019.4338757331145],[946.8580322265625 1785.0908203125 1192.3289794921875 1889.137939453125],0.41754335165023804,NA13NRU,0.5320594750563955
